Row,Low_model,Low_exp, ,Medium_model,Medium_exp,  ,High_model,High_exp
R,0.805285748456813,0.865890899728553,,0.897000294136871,0.917413546012324,,0.942753097613068,0.921500663506249
C1,0.169170023931261,0.114594342031814,,0.0420840443041378,0.045161166218338,,0.0158212575833446,0.0260432783238393
C2,0.0255442276119262,0.0195147582396329,,0.0609156615589905,0.037425287769338,,0.0414256448035881,0.052456058169912
BrayCurtis,0.93939484872826,0.93939484872826,,0.976509626210347,0.976509626210347,,0.978747565893181,0.978747565893181
